Case,Temp,Dataset_Yield,Dataset_Formula,Gen_Yield,Gen_Formula,L1_frac_distance,Yield_Error,Yield_Error_%
Q1_T800_1,800,1597.0,Al0.2Mo0.1Nb0.2Ta0.1Ti0.2Zr0.2,1563.2196044921875,Cr0.16Nb0.25Ta0.18Ti0.15V0.14W0.13,1.0984983831644057,33.7803955078125,2.1152407957302755
Q1_T800_2,800,1045.0,Hf0.2Mo0.2Ta0.2Ti0.2Zr0.2,1551.1468505859375,Cr0.15Nb0.25Ta0.18Ti0.15V0.13W0.14,1.3385723382234573,506.1468505859375,48.43510531922847
Q1_T800_3,800,1007.0,Hf0.17Mo0.17Nb0.17Ta0.17Ti0.17Zr0.17,1563.2196044921875,Cr0.16Nb0.25Ta0.18Ti0.15V0.14W0.13,1.031831716497739,556.2196044921875,55.23531325642379
