Composition,Al_pct,Co_pct,Cr_pct,Hf_pct,Mo_pct,Nb_pct,Si_pct,Ta_pct,Ti_pct,V_pct,W_pct,Zr_pct,Equilibrium_Conditions,Single_Multiphase,Type_Present_Phases,Tension_Compression,Density,Young_Modulus_ROM,Young_Modulus_Exp,Testing_Temp,Yield_Strength,Specific_Strength,Equilibrium_Conditions_encoded,Single_Multiphase_encoded,Type_Present_Phases_encoded,Tension_Compression_encoded
AlMo0.5NbTa0.5TiZr,20.0,0.0,0.0,0.0,10.0,20.0,0.0,10.0,20.0,0.0,0.0,20.0,HIP+A,M,BCC+B2,C,7.1,,122.0,25.0,2197.0,307.4,3,0,7,0
AlMo0.5NbTa0.5TiZr0.5,22.22222222222222,0.0,0.0,0.0,11.11111111111111,22.22222222222222,0.0,11.11111111111111,22.22222222222222,0.0,0.0,11.11111111111111,HIP+A,S,B2,C,7.2,,133.0,25.0,1320.0,,3,1,3,0
AlMoNbTi,25.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,A,S,BCC,C,6.5,,,1000.0,540.0,83.6,0,1,6,0
AlMoNbTiV,20.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0,AC,S,BCC,C,6.4,149.6,174.4,25.0,1375.0,214.9,1,1,6,0
AlMoTaTiV,20.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,20.0,20.0,0.0,0.0,AC,S,BCC,C,8.2,165.8,,25.0,735.0,,1,1,6,0
AlNb1.5Ta0.5Ti1.5Zr0.5,20.0,0.0,0.0,0.0,0.0,30.0,0.0,10.0,30.0,0.0,0.0,10.0,HIP+A,S,BCC,C,6.8,105.7,,25.0,1280.0,186.9,3,1,6,0
AlNbTa0.5TiZr0.5,25.0,0.0,0.0,0.0,0.0,25.0,0.0,12.5,25.0,0.0,0.0,12.5,HIP+A,S,B2,C,6.9,,124.0,25.0,1352.0,195.3,3,1,3,0
AlNbTaTiV,20.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,AC,S,BCC,C,7.9,121.0,101.0,25.0,991.0,125.6,1,1,6,0
AlNbTiV,25.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,25.0,0.0,0.0,A,S,BCC,C,5.5,104.8,,25.0,1020.0,185.6,0,1,6,0
AlNbTiVZr,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,20.0,A,M,B2+Al3Zr5+Laves,C,5.8,,,25.0,1500.0,260.4,0,0,5,0
AlNbTiVZr0.1,24.390243902439025,0.0,0.0,0.0,0.0,24.390243902439025,0.0,0.0,24.390243902439025,24.390243902439025,0.0,2.439024390243903,A,M,B2+Al3Zr5,C,5.5,,,25.0,1290.0,233.2,0,0,4,0
AlNbTiVZr0.25,23.529411764705884,0.0,0.0,0.0,0.0,23.529411764705884,0.0,0.0,23.529411764705884,23.529411764705884,0.0,5.882352941176471,A,M,B2+Al3Zr5,C,5.6,,,25.0,1360.0,243.8,0,0,4,0
