Composition,Al_pct,Co_pct,Cr_pct,Hf_pct,Mo_pct,Nb_pct,Si_pct,Ta_pct,Ti_pct,V_pct,W_pct,Zr_pct,Equilibrium_Conditions,Single_Multiphase,Type_Present_Phases,Tension_Compression,Density,Young_Modulus_ROM,Young_Modulus_Exp,Testing_Temp,Yield_Strength,Specific_Strength,Equilibrium_Conditions_encoded,Single_Multiphase_encoded,Type_Present_Phases_encoded,Tension_Compression_encoded
MoNbTiV0.5Zr,0.0,0.0,0.0,0.0,22.22222222222222,22.22222222222222,0.0,0.0,22.22222222222222,11.11111111111111,0.0,22.22222222222222,AC,S,BCC,C,7.2,151.6,141.7,25.0,1640.0,227.5,1,1,6,0
MoNbTiV0.75Zr,0.0,0.0,0.0,0.0,21.05263157894737,21.05263157894737,0.0,0.0,21.05263157894737,15.789473684210526,0.0,21.05263157894737,AC,S,BCC,C,7.2,150.3,141.5,25.0,1680.0,234.5,1,1,6,0
MoNbTiV1.5Zr,0.0,0.0,0.0,0.0,18.181818181818183,18.181818181818183,0.0,0.0,18.181818181818183,27.272727272727273,0.0,18.181818181818183,AC,M,2 BCC,C,7.1,,,25.0,1720.0,243.9,1,0,0,0
MoNbTiV2Zr,0.0,0.0,0.0,0.0,16.666666666666668,16.666666666666668,0.0,0.0,16.666666666666668,33.333333333333336,0.0,16.666666666666668,AC,M,2 BCC,C,7.0,,,25.0,1520.0,217.5,1,0,0,0
MoNbTiV3Zr,0.0,0.0,0.0,0.0,14.285714285714286,14.285714285714286,0.0,0.0,14.285714285714286,42.857142857142854,0.0,14.285714285714286,AC,M,2 BCC,C,6.9,,,25.0,1415.0,205.5,1,0,0,0
MoNbTiVZr,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,20.0,0.0,20.0,AC,S,BCC,C,7.1,149.2,139.5,25.0,1779.0,249.7,1,1,6,0
MoNbTiZr,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,25.0,0.0,0.0,25.0,AC,S,BCC,C,7.3,154.5,140.1,25.0,1560.0,213.4,1,1,6,0
MoTaTiV,0.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0,AC,S,BCC,C,9.6,189.8,,25.0,1221.0,127.4,1,1,6,0
NbTaTiV,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,25.0,0.0,0.0,AC,S,BCC,C,9.2,133.8,108.0,25.0,1092.0,119.1,1,1,6,0
NbTaTiVW,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,20.0,20.0,0.0,AC,S,BCC,C,11.1,189.2,257.3,25.0,1420.0,127.9,1,1,6,0
NbTaVW,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,25.0,25.0,0.0,AC,S,BCC,C,12.9,207.5,,25.0,1530.0,118.7,1,1,6,0
NbTiV0.3Zr,0.0,0.0,0.0,0.0,0.0,30.303030303030305,0.0,0.0,30.303030303030305,9.090909090909092,0.0,30.303030303030305,AC,S,BCC,C,6.5,99.2,,25.0,866.0,133.0,1,1,6,0
NbTiV2Zr,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,40.0,0.0,20.0,HIP+A,M,3 BCC,C,6.4,,,25.0,918.0,143.3,3,0,2,0
NbTiVZr,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,25.0,0.0,25.0,HIP+A,M,2 BCC,C,6.5,,,25.0,1105.0,171.1,3,0,0,0
